,nb_images
Watsonalla uncinula,10
Idaea moniliata,2
Ochropleura plecta,5
Eucrostes indigenata,8
Pyrausta aurata,1
Crambidae,40
Sitochroa verticalis,2
Tortricidae,86
Eudonia mercurella,24
Euproctis similis,10
Cyclophora,1
Nomophila,3
Chrysocrambus linetellus,1
Cydia triangulella,1
Mesoligia furuncula,3
Endotricha flammealis,10
Geo,1
Rhodometra sacraria,2
Oncocera semirubella,3
Pyrausta,1
Xestia c-nigrum,9
Rivula sericealis,1
Aphomia,9
Atethmia centrago,2
Alucitidae,1
Scopula,1
Scopula ornata,1
Thaumetopoea processionea,1
Noctuidae,36
Tortrix viridana,3
Ge,1
Dolicharthria punctalis,32
Callimorpha quadripunctaria,6
Laspeyria flexula,2
Chrysoteuchia culmella,15
Aplocera plagiata,1
Pterophoridae,10
Acleris variegana,1
Eilema,21
Aphomia sociella,3
Phalonidia,1
Camptogramma bilineata,3
Chiasmia clathrata,3
Craniophora ligustri,2
Zeiraphera isertana,1
Ecleora solieraria,1
Timandra comae,2
Idaea rusticata,15
Scopula rubiginata,19
Xanthorhoe,3
Yponomeutidae,1
Nycteola revayana,11
Eublemma,2
Eupithecia centaureata,3
Stegania trimaculata,2
Phycita roborella,3
Eublemma parva,8
Horisme vitalbata,1
Idaea fuscovenosa,3
Eudonia lacustrata,14
Geometridae,45
Acasis viretata,5
Ancylolomia,1
Peribatodes rhomboidaria,4
Lymantria dispar,6
Malacosoma neustria,4
Euthrix potatoria,3
Cryphia algae,2
Acrobasis glaucella,4
Crambus pascuella,1
Acrobasis,6
Eilema lurideola,3
Eilema caniola,17
Euxoa obelisca,1
Idaea aversata,3
Eilema complana,4
Eudonia,56
Lasiocampidae,3
Horisme radicaria,1
Eupithecia,1
Idaea infirmaria,3
Scoparia subfusca,4
Idaea filicata,11
Cosmia trapezina,24
Agrotis puta,1
Tyta luctuosa,8
Lepidoptera,222
Eilema griseola,2
Pyrausta despicata,6
Mythimna,4
Elophila lemnata,2
Tephronia oranaria,1
Idaea,19
Cryphia,5
Plutella xylostella,3
Nomophila noctuella,61
End,1
Synaphe punctalis,3
Laxostege sticticalis,1
Hypsopygia costalis,1
Idaea ostrinaria,1
Acontia lucida,6
Watsonalla,4
Carcina quercana,1
Emmelia trabealis,4
Euprotis similis,2
Pyralidae,24
Idaea degeneraria,2
Mythimna vitellina,2
Idaea humiliata,1
Evergestis forficalis,1
Ecpyrrhorrhoe rubiginalis,1
Pyrausta sanguinalis,2
